ticker,trailingPE,priceToBook,revenueGrowth,returnOnEquity,debtToEquity,trailingEps,marketCap,sector,shortName
BALL,16.612244,2.7083037,0.163,0.16785999,145.542,3.43,15170725888.0,Consumer Cyclical,Ball Corporation
BAC,13.9007435,1.448893,0.081,0.10644,,4.03,397551009792.0,Financial Services,Bank of America Corporation
BK,17.01737,2.3863044,0.134,0.13472,,8.06,94143750144.0,Financial Services,The Bank of New York Mellon Cor
BBWI,5.5113635,-3.441547,-0.032,,,3.52,3910298880.0,Consumer Cyclical,"Bath & Body Works, Inc."
BAX,,1.7827536,0.029,-0.15010999,161.021,-1.91,10773543936.0,Healthcare,Baxter International Inc.
BDX,25.521816,1.6697115,0.052,0.06672,71.599,5.73,40295030784.0,Healthcare,"Becton, Dickinson and Company"
WRB,14.463983,2.6125057,0.04,0.20164,31.76,4.72,25415331840.0,Financial Services,W.R. Berkley Corporation
BBY,14.542592,5.367004,0.019,0.39104,134.09,5.4,16551541760.0,Consumer Cyclical,"Best Buy Co., Inc."
BIO,47.656666,1.1196911,0.011,0.02495,20.116,6.0,7652211200.0,Healthcare,"Bio-Rad Laboratories, Inc."
TECH,77.14286,4.185722,-0.015,0.053400002,13.922,0.7,8454712832.0,Healthcare,Bio-Techne Corp
BIIB,21.510752,1.5830874,0.019,0.077010006,35.181,9.3,29534806016.0,Healthcare,Biogen Inc.
BLK,25.975334,2.8284047,0.27,0.118990004,23.635,39.73,168059666432.0,Financial Services,"BlackRock, Inc."
BX,31.484615,11.522005,0.057,0.29533002,72.022,3.9,150081552384.0,Financial Services,Blackstone Inc.
BA,86.92461,28.85654,0.14,1.69947,828.696,2.52,172677627904.0,Industrials,Boeing Company (The)
BCH,16.534979,0.7144,-0.079,0.2085,,2.43,20294332416.0,Financial Services,Banco De Chile
BMY,16.002802,5.8129835,0.026,0.38731998,230.967,3.57,116663533568.0,Healthcare,Bristol-Myers Squibb Company
AVGO,63.678333,20.730873,0.479,0.37280998,74.018,6.0,1817728778240.0,Technology,Broadcom Inc.
BR,15.510706,5.9463115,0.078,0.42314,120.878,9.34,16755417088.0,Technology,"Broadridge Financial Solutions,"
BRO,19.540718,1.5963705,0.357,0.11926,64.37,3.07,20333481984.0,Financial Services,"Brown & Brown, Inc."
BF-B,17.653595,3.081926,0.02,0.17846,64.95,1.53,12389584896.0,Consumer Defensive,Brown Forman Inc
BLDR,29.683207,2.0882337,-0.101,0.06958,132.159,2.62,8364931072.0,Industrials,"Builders FirstSource, Inc."
BXP,33.30653,2.0413315,0.006,0.05525,211.994,1.99,11818480640.0,Real Estate,"BXP, Inc."
CHRW,39.218624,13.432712,-0.008,0.34838,96.501,4.94,22836723712.0,Industrials,"C.H. Robinson Worldwide, Inc."
CDNS,90.154564,16.182268,0.187,0.20656,46.992,4.27,106178125824.0,Technology,"Cadence Design Systems, Inc."
CZR,,1.7611226,0.027,-0.107159995,722.658,-2.36,6006923264.0,Consumer Cyclical,"Caesars Entertainment, Inc."
CPT,32.11732,2.9673023,-0.005,0.09064999,104.147,3.58,11393436672.0,Real Estate,Camden Property Trust
CPB,11.181373,1.6875045,-0.044,0.15389,182.035,2.04,6802084352.0,Consumer Defensive,The Campbell's Company
COF,56.84,1.0646955,0.463,0.03259,,3.25,114956148736.0,Financial Services,Capital One Financial Corporati
CAH,34.123478,-18.575224,0.11,,,6.56,52426981376.0,Healthcare,"Cardinal Health, Inc."
KMX,30.511904,1.2342885,-0.012,0.04077,318.175,1.68,7269729792.0,Consumer Cyclical,CarMax Inc
CCL,12.854626,3.101286,0.061,0.27853,203.901,2.27,40418373632.0,Consumer Cyclical,Carnival Corporation Ltd.
CARR,46.60667,4.3207664,0.024,0.09907,91.102,1.5,58065879040.0,Industrials,Carrier Global Corporation
CTLT,,,,,,,,,
CAT,45.256958,22.477104,0.222,0.51331,230.793,20.12,419401236480.0,Industrials,"Caterpillar, Inc."
CBOE,25.184458,5.744702,0.065,0.2514,29.489,11.71,30863448064.0,Financial Services,"Cboe Global Markets, Inc."
CBRE,30.458904,4.5854816,0.186,0.15597,113.689,4.38,39064662016.0,Real Estate,CBRE Group Inc
CDW,16.101097,6.6214185,0.092,0.44157,240.522,8.21,16887728128.0,Technology,CDW Corporation
CE,,1.4434549,-0.022,-0.21109,287.737,-9.86,5864752128.0,Basic Materials,Celanese Corporation
